"Bairro","Taxa de alfabetização"
"Centro - Alta Floresta D'Oeste (RO)","94.2"
"Liberdade - Alta Floresta D'Oeste (RO)","92.3"
"Cidade Alta - Alta Floresta D'Oeste (RO)","91.6"
"Santa Felicidade - Alta Floresta D'Oeste (RO)","92.0"
"Princesa Isabel - Alta Floresta D'Oeste (RO)","85.1"
"Redondo - Alta Floresta D'Oeste (RO)","92.5"
"Tucanos - Alta Floresta D'Oeste (RO)","86.8"
"Centro - Cacoal (RO)","97.4"
"Jardim Clodoaldo - Cacoal (RO)","95.4"
"Princesa Isabel - Cacoal (RO)","97.1"
"Liberdade - Cacoal (RO)","95.7"
"Novo Horizonte - Cacoal (RO)","94.6"
"Novo Cacoal - Cacoal (RO)","94.6"
"Residencial Parque Brizon - Cacoal (RO)","93.1"
"Vilage do Sol - Cacoal (RO)","92.5"
"Saúde - Cacoal (RO)","93.9"
"Teixeirão - Cacoal (RO)","92.3"
"Floresta - Cacoal (RO)","94.9"
"INCRA - Cacoal (RO)","97.0"
"Santo Antônio - Cacoal (RO)","92.7"
"Industrial - Cacoal (RO)","94.0"
"Cristal do Arco-Íris - Cacoal (RO)","94.1"
"Parque Industrial Governador Jerônimo Santana - Cacoal (RO)","X"
"Jardim Bandeirantes - Cacoal (RO)","90.9"
"Jardim Vista Alegre - Cacoal (RO)","90.3"
"Conjunto Haley - Cacoal (RO)","90.7"
"Conjunto Habitacional Nova Esperança - Cacoal (RO)","96.1"
"Sociedade Bela Vista - Cacoal (RO)","90.4"
"Centro - Colorado do Oeste (RO)","95.0"
"Cruzeiro - Colorado do Oeste (RO)","85.7"
"Jorge Teixeira - Colorado do Oeste (RO)","89.8"
"Jo Sato - Colorado do Oeste (RO)","84.0"
"Minas Gerais - Colorado do Oeste (RO)","87.7"
"Santa Luzia - Colorado do Oeste (RO)","92.0"
"Odilon Noia - Colorado do Oeste (RO)","76.7"
"São José - Colorado do Oeste (RO)","94.0"
"Mato Grosso - Colorado do Oeste (RO)","85.3"
"Industrial - Colorado do Oeste (RO)","91.5"
"Centro - Espigão D'Oeste (RO)","95.2"
"São José - Espigão D'Oeste (RO)","91.1"
"Morada do Sol - Espigão D'Oeste (RO)","91.6"
"Caixa D'água - Espigão D'Oeste (RO)","90.8"
"Liberdade - Espigão D'Oeste (RO)","90.7"
"Jorge Teixeira de Oliveira - Espigão D'Oeste (RO)","88.1"
"Vista Alegre - Espigão D'Oeste (RO)","93.7"
"Novo Horizonte - Espigão D'Oeste (RO)","91.2"
"Cidade Alta - Espigão D'Oeste (RO)","89.6"
"Triângulo - Guajará-Mirim (RO)","90.0"
"Centro - Guajará-Mirim (RO)","97.5"
"Cristo Rey - Guajará-Mirim (RO)","95.1"
"Tamandaré - Guajará-Mirim (RO)","94.4"
"São José - Guajará-Mirim (RO)","96.5"
"Santa Luzia - Guajará-Mirim (RO)","93.5"
"Dez de Abril - Guajará-Mirim (RO)","95.0"
"Caetano - Guajará-Mirim (RO)","98.1"
"Liberdade - Guajará-Mirim (RO)","93.2"
"Fátima - Guajará-Mirim (RO)","93.2"
"Próspero - Guajará-Mirim (RO)","93.4"
"Serraria - Guajará-Mirim (RO)","96.2"
"Santo Antônio - Guajará-Mirim (RO)","95.8"
"Jardim das Esmeraldas - Guajará-Mirim (RO)","88.7"
"Nossa Senhora Aparecida - Guajará-Mirim (RO)","96.0"
"Santiago - Ji-Paraná (RO)","94.7"
"União - Ji-Paraná (RO)","89.2"
"Centro - Ji-Paraná (RO)","97.1"
"Urupá - Ji-Paraná (RO)","96.8"
"Dois de Abril - Ji-Paraná (RO)","97.0"
"Casa Preta - Ji-Paraná (RO)","95.3"
"Dom Bosco - Ji-Paraná (RO)","95.0"
"São Bernardo - Ji-Paraná (RO)","92.6"
