"id_municipio","Município","Situação do domicílio","Grupo de idade","elderly(>70yo)"
"1100015","Alta Floresta D'Oeste (RO)","Total","70 anos ou mais","3.76"
"1100023","Ariquemes (RO)","Total","70 anos ou mais","2.60"
"1100031","Cabixi (RO)","Total","70 anos ou mais","4.13"
"1100049","Cacoal (RO)","Total","70 anos ou mais","3.48"
"1100056","Cerejeiras (RO)","Total","70 anos ou mais","4.18"
"1100064","Colorado do Oeste (RO)","Total","70 anos ou mais","4.55"
"1100072","Corumbiara (RO)","Total","70 anos ou mais","3.52"
"1100080","Costa Marques (RO)","Total","70 anos ou mais","2.50"
"1100098","Espigão D'Oeste (RO)","Total","70 anos ou mais","3.25"
"1100106","Guajará-Mirim (RO)","Total","70 anos ou mais","3.11"
"1100114","Jaru (RO)","Total","70 anos ou mais","3.44"
"1100122","Ji-Paraná (RO)","Total","70 anos ou mais","3.19"
"1100130","Machadinho D'Oeste (RO)","Total","70 anos ou mais","2.43"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","70 anos ou mais","3.41"
"1100155","Ouro Preto do Oeste (RO)","Total","70 anos ou mais","3.87"
"1100189","Pimenta Bueno (RO)","Total","70 anos ou mais","3.13"
"1100205","Porto Velho (RO)","Total","70 anos ou mais","2.19"
"1100254","Presidente Médici (RO)","Total","70 anos ou mais","4.56"
"1100262","Rio Crespo (RO)","Total","70 anos ou mais","3.99"
"1100288","Rolim de Moura (RO)","Total","70 anos ou mais","3.68"
"1100296","Santa Luzia D'Oeste (RO)","Total","70 anos ou mais","4.31"
"1100304","Vilhena (RO)","Total","70 anos ou mais","2.87"
"1100320","São Miguel do Guaporé (RO)","Total","70 anos ou mais","2.57"
"1100338","Nova Mamoré (RO)","Total","70 anos ou mais","2.10"
"1100346","Alvorada D'Oeste (RO)","Total","70 anos ou mais","3.81"
"1100379","Alto Alegre dos Parecis (RO)","Total","70 anos ou mais","2.71"
"1100403","Alto Paraíso (RO)","Total","70 anos ou mais","2.95"
"1100452","Buritis (RO)","Total","70 anos ou mais","2.12"
"1100502","Novo Horizonte do Oeste (RO)","Total","70 anos ou mais","3.88"
"1100601","Cacaulândia (RO)","Total","70 anos ou mais","3.63"
"1100700","Campo Novo de Rondônia (RO)","Total","70 anos ou mais","1.77"
"1100809","Candeias do Jamari (RO)","Total","70 anos ou mais","2.54"
"1100908","Castanheiras (RO)","Total","70 anos ou mais","4.14"
"1100924","Chupinguaia (RO)","Total","70 anos ou mais","1.91"
"1100940","Cujubim (RO)","Total","70 anos ou mais","1.45"
"1101005","Governador Jorge Teixeira (RO)","Total","70 anos ou mais","3.68"
"1101104","Itapuã do Oeste (RO)","Total","70 anos ou mais","2.73"
"1101203","Ministro Andreazza (RO)","Total","70 anos ou mais","3.48"
"1101302","Mirante da Serra (RO)","Total","70 anos ou mais","4.46"
"1101401","Monte Negro (RO)","Total","70 anos ou mais","3.07"
"1101435","Nova União (RO)","Total","70 anos ou mais","3.22"
"1101450","Parecis (RO)","Total","70 anos ou mais","2.48"
"1101468","Pimenteiras do Oeste (RO)","Total","70 anos ou mais","2.70"
"1101476","Primavera de Rondônia (RO)","Total","70 anos ou mais","4.43"
"1101484","São Felipe D'Oeste (RO)","Total","70 anos ou mais","4.34"
"1101492","São Francisco do Guaporé (RO)","Total","70 anos ou mais","2.33"
"1101500","Seringueiras (RO)","Total","70 anos ou mais","2.89"
"1101559","Teixeirópolis (RO)","Total","70 anos ou mais","4.78"
"1101609","Theobroma (RO)","Total","70 anos ou mais","3.30"
"1101708","Urupá (RO)","Total","70 anos ou mais","3.36"
"1101757","Vale do Anari (RO)","Total","70 anos ou mais","2.88"
"1101807","Vale do Paraíso (RO)","Total","70 anos ou mais","3.44"
"1200013","Acrelândia (AC)","Total","70 anos ou mais","2.39"
"1200054","Assis Brasil (AC)","Total","70 anos ou mais","3.04"
"1200104","Brasiléia (AC)","Total","70 anos ou mais","3.31"
"1200138","Bujari (AC)","Total","70 anos ou mais","2.61"
"1200179","Capixaba (AC)","Total","70 anos ou mais","2.56"
"1200203","Cruzeiro do Sul (AC)","Total","70 anos ou mais","2.63"
"1200252","Epitaciolândia (AC)","Total","70 anos ou mais","3.12"
"1200302","Feijó (AC)","Total","70 anos ou mais","2.31"
"1200328","Jordão (AC)","Total","70 anos ou mais","1.20"
"1200336","Mâncio Lima (AC)","Total","70 anos ou mais","2.51"
"1200344","Manoel Urbano (AC)","Total","70 anos ou mais","2.59"
"1200351","Marechal Thaumaturgo (AC)","Total","70 anos ou mais","1.46"
"1200385","Plácido de Castro (AC)","Total","70 anos ou mais","3.18"
"1200393","Porto Walter (AC)","Total","70 anos ou mais","1.85"
"1200401","Rio Branco (AC)","Total","70 anos ou mais","2.77"
"1200427","Rodrigues Alves (AC)","Total","70 anos ou mais","1.63"
"1200435","Santa Rosa do Purus (AC)","Total","70 anos ou mais","0.34"
"1200450","Senador Guiomard (AC)","Total","70 anos ou mais","3.42"
"1200500","Sena Madureira (AC)","Total","70 anos ou mais","2.79"
"1200609","Tarauacá (AC)","Total","70 anos ou mais","2.89"
"1200708","Xapuri (AC)","Total","70 anos ou mais","3.80"
"1200807","Porto Acre (AC)","Total","70 anos ou mais","3.30"
"1300029","Alvarães (AM)","Total","70 anos ou mais","1.89"
"1300060","Amaturá (AM)","Total","70 anos ou mais","2.07"
"1300086","Anamã (AM)","Total","70 anos ou mais","2.76"
"1300102","Anori (AM)","Total","70 anos ou mais","2.76"
"1300144","Apuí (AM)","Total","70 anos ou mais","1.51"
"1300201","Atalaia do Norte (AM)","Total","70 anos ou mais","1.64"
"1300300","Autazes (AM)","Total","70 anos ou mais","3.15"
"1300409","Barcelos (AM)","Total","70 anos ou mais","1.57"
"1300508","Barreirinha (AM)","Total","70 anos ou mais","3.20"
"1300607","Benjamin Constant (AM)","Total","70 anos ou mais","2.59"
"1300631","Beruri (AM)","Total","70 anos ou mais","2.33"
"1300680","Boa Vista do Ramos (AM)","Total","70 anos ou mais","2.40"
"1300706","Boca do Acre (AM)","Total","70 anos ou mais","2.86"
"1300805","Borba (AM)","Total","70 anos ou mais","2.75"
"1300839","Caapiranga (AM)","Total","70 anos ou mais","2.10"
"1300904","Canutama (AM)","Total","70 anos ou mais","2.54"
"1301001","Carauari (AM)","Total","70 anos ou mais","2.22"
"1301100","Careiro (AM)","Total","70 anos ou mais","2.21"
"1301159","Careiro da Várzea (AM)","Total","70 anos ou mais","2.93"
"1301209","Coari (AM)","Total","70 anos ou mais","2.30"
"1301308","Codajás (AM)","Total","70 anos ou mais","2.38"
"1301407","Eirunepé (AM)","Total","70 anos ou mais","2.05"
"1301506","Envira (AM)","Total","70 anos ou mais","2.46"
"1301605","Fonte Boa (AM)","Total","70 anos ou mais","2.53"
"1301654","Guajará (AM)","Total","70 anos ou mais","1.77"
"1301704","Humaitá (AM)","Total","70 anos ou mais","2.47"
"1301803","Ipixuna (AM)","Total","70 anos ou mais","1.79"
"1301852","Iranduba (AM)","Total","70 anos ou mais","2.88"
"1301902","Itacoatiara (AM)","Total","70 anos ou mais","3.29"
"1301951","Itamarati (AM)","Total","70 anos ou mais","1.33"
"1302009","Itapiranga (AM)","Total","70 anos ou mais","2.90"
"1302108","Japurá (AM)","Total","70 anos ou mais","1.90"
"1302207","Juruá (AM)","Total","70 anos ou mais","1.81"
"1302306","Jutaí (AM)","Total","70 anos ou mais","2.01"
"1302405","Lábrea (AM)","Total","70 anos ou mais","2.46"
"1302504","Manacapuru (AM)","Total","70 anos ou mais","3.19"
"1302553","Manaquiri (AM)","Total","70 anos ou mais","2.93"
"1302603","Manaus (AM)","Total","70 anos ou mais","2.51"
"1302702","Manicoré (AM)","Total","70 anos ou mais","2.64"
"1302801","Maraã (AM)","Total","70 anos ou mais","1.23"
"1302900","Maués (AM)","Total","70 anos ou mais","3.40"
"1303007","Nhamundá (AM)","Total","70 anos ou mais","3.52"
"1303106","Nova Olinda do Norte (AM)","Total","70 anos ou mais","3.24"
"1303205","Novo Airão (AM)","Total","70 anos ou mais","2.88"
"1303304","Novo Aripuanã (AM)","Total","70 anos ou mais","2.87"
"1303403","Parintins (AM)","Total","70 anos ou mais","3.41"
"1303502","Pauini (AM)","Total","70 anos ou mais","1.70"
"1303536","Presidente Figueiredo (AM)","Total","70 anos ou mais","1.57"
"1303569","Rio Preto da Eva (AM)","Total","70 anos ou mais","1.84"
"1303601","Santa Isabel do Rio Negro (AM)","Total","70 anos ou mais","2.50"
