"Bairro","Média de moradores em domicílios"
"Centro - Alta Floresta D'Oeste (RO)","3.01"
"Liberdade - Alta Floresta D'Oeste (RO)","3.01"
"Cidade Alta - Alta Floresta D'Oeste (RO)","3.06"
"Santa Felicidade - Alta Floresta D'Oeste (RO)","3.28"
"Princesa Isabel - Alta Floresta D'Oeste (RO)","3.32"
"Redondo - Alta Floresta D'Oeste (RO)","3.22"
"Tucanos - Alta Floresta D'Oeste (RO)","3.17"
"Centro - Cacoal (RO)","2.85"
"Jardim Clodoaldo - Cacoal (RO)","3.00"
"Princesa Isabel - Cacoal (RO)","2.99"
"Liberdade - Cacoal (RO)","3.15"
"Novo Horizonte - Cacoal (RO)","3.17"
"Novo Cacoal - Cacoal (RO)","3.06"
"Residencial Parque Brizon - Cacoal (RO)","3.27"
"Vilage do Sol - Cacoal (RO)","3.26"
"Saúde - Cacoal (RO)","3.12"
"Teixeirão - Cacoal (RO)","3.20"
"Floresta - Cacoal (RO)","3.17"
"INCRA - Cacoal (RO)","3.19"
"Santo Antônio - Cacoal (RO)","3.27"
"Industrial - Cacoal (RO)","3.31"
"Cristal do Arco-Íris - Cacoal (RO)","3.29"
"Parque Industrial Governador Jerônimo Santana - Cacoal (RO)","X"
"Jardim Bandeirantes - Cacoal (RO)","3.20"
"Jardim Vista Alegre - Cacoal (RO)","3.30"
"Conjunto Haley - Cacoal (RO)","3.39"
"Conjunto Habitacional Nova Esperança - Cacoal (RO)","3.36"
"Sociedade Bela Vista - Cacoal (RO)","3.41"
"Centro - Colorado do Oeste (RO)","2.98"
"Cruzeiro - Colorado do Oeste (RO)","3.06"
"Jorge Teixeira - Colorado do Oeste (RO)","2.94"
"Jo Sato - Colorado do Oeste (RO)","3.19"
"Minas Gerais - Colorado do Oeste (RO)","3.05"
"Santa Luzia - Colorado do Oeste (RO)","3.07"
"Odilon Noia - Colorado do Oeste (RO)","3.43"
"São José - Colorado do Oeste (RO)","3.06"
"Mato Grosso - Colorado do Oeste (RO)","3.10"
"Industrial - Colorado do Oeste (RO)","3.27"
"Centro - Espigão D'Oeste (RO)","3.06"
"São José - Espigão D'Oeste (RO)","3.35"
"Morada do Sol - Espigão D'Oeste (RO)","3.22"
"Caixa D'água - Espigão D'Oeste (RO)","3.13"
"Liberdade - Espigão D'Oeste (RO)","3.15"
"Jorge Teixeira de Oliveira - Espigão D'Oeste (RO)","3.45"
"Vista Alegre - Espigão D'Oeste (RO)","3.23"
"Novo Horizonte - Espigão D'Oeste (RO)","3.37"
"Cidade Alta - Espigão D'Oeste (RO)","3.33"
"Triângulo - Guajará-Mirim (RO)","4.45"
"Centro - Guajará-Mirim (RO)","3.00"
"Cristo Rey - Guajará-Mirim (RO)","3.56"
"Tamandaré - Guajará-Mirim (RO)","3.41"
"São José - Guajará-Mirim (RO)","3.73"
"Santa Luzia - Guajará-Mirim (RO)","3.88"
"Dez de Abril - Guajará-Mirim (RO)","3.35"
"Caetano - Guajará-Mirim (RO)","3.45"
"Liberdade - Guajará-Mirim (RO)","3.44"
"Fátima - Guajará-Mirim (RO)","3.65"
"Próspero - Guajará-Mirim (RO)","4.04"
"Serraria - Guajará-Mirim (RO)","3.46"
"Santo Antônio - Guajará-Mirim (RO)","3.91"
"Jardim das Esmeraldas - Guajará-Mirim (RO)","4.05"
"Nossa Senhora Aparecida - Guajará-Mirim (RO)","3.76"
"Santiago - Ji-Paraná (RO)","3.34"
"União - Ji-Paraná (RO)","3.12"
"Centro - Ji-Paraná (RO)","2.75"
"Urupá - Ji-Paraná (RO)","3.10"
"Dois de Abril - Ji-Paraná (RO)","2.93"
"Casa Preta - Ji-Paraná (RO)","3.05"
"Dom Bosco - Ji-Paraná (RO)","3.26"
"São Bernardo - Ji-Paraná (RO)","3.30"
"Jardim Presidencial - Ji-Paraná (RO)","3.29"
"Parque São Pedro - Ji-Paraná (RO)","3.35"
"Jardim dos Migrantes - Ji-Paraná (RO)","3.30"
"Nossa Senhora de Fátima - Ji-Paraná (RO)","3.27"
"Jotão - Ji-Paraná (RO)","3.03"
"Duque de Caxias - Ji-Paraná (RO)","3.57"
"JK - Ji-Paraná (RO)","3.35"
"Jardim das Seringueiras - Ji-Paraná (RO)","3.63"
"Nova Brasília - Ji-Paraná (RO)","3.04"
"Conj. Mário Andreazza - Ji-Paraná (RO)","3.29"
"Riachuelo - Ji-Paraná (RO)","3.36"
"Primavera - Ji-Paraná (RO)","3.29"
"São Pedro - Ji-Paraná (RO)","3.32"
"Coronel Jorge T. de Oliveira - Ji-Paraná (RO)","3.21"
"Valparaíso - Ji-Paraná (RO)","3.37"
"Cafezinho - Ji-Paraná (RO)","3.12"
"Jardim Flórida - Ji-Paraná (RO)","3.14"
"São Francisco - Ji-Paraná (RO)","3.47"
"Alto Alegre - Ji-Paraná (RO)","3.27"
"União - Ouro Preto do Oeste (RO)","3.08"
"Bela Floresta - Ouro Preto do Oeste (RO)","3.14"
"Jardim Bandeirante - Ouro Preto do Oeste (RO)","3.01"
"Nova Ouro Preto - Ouro Preto do Oeste (RO)","3.10"
"Jardim Novo Horizonte - Ouro Preto do Oeste (RO)","3.22"
"Jardim Novo Estado - Ouro Preto do Oeste (RO)","3.21"
"Da Liberdade - Ouro Preto do Oeste (RO)","3.05"
"Alvorada - Ouro Preto do Oeste (RO)","3.25"
"Industrial - Ouro Preto do Oeste (RO)","3.57"
