"Bairro","Classes de rendimento nominal mensal domiciliar","Ano","Situação do domicílio","rendimento nominal médio mensal"
"Centro - Alta Floresta D'Oeste (RO)","Total","2010","Total","1910.64"
"Liberdade - Alta Floresta D'Oeste (RO)","Total","2010","Total","2199.28"
"Cidade Alta - Alta Floresta D'Oeste (RO)","Total","2010","Total","1565.54"
"Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","2010","Total","1693.86"
"Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","2010","Total","962.12"
"Redondo - Alta Floresta D'Oeste (RO)","Total","2010","Total","1523.45"
"Tucanos - Alta Floresta D'Oeste (RO)","Total","2010","Total","1549.65"
"Centro - Cacoal (RO)","Total","2010","Total","4043.76"
"Jardim Clodoaldo - Cacoal (RO)","Total","2010","Total","2294.20"
"Princesa Isabel - Cacoal (RO)","Total","2010","Total","2682.57"
"Liberdade - Cacoal (RO)","Total","2010","Total","2057.09"
"Novo Horizonte - Cacoal (RO)","Total","2010","Total","2921.53"
"Novo Cacoal - Cacoal (RO)","Total","2010","Total","2203.43"
"Residencial Parque Brizon - Cacoal (RO)","Total","2010","Total","1987.73"
"Vilage do Sol - Cacoal (RO)","Total","2010","Total","1537.43"
"Saúde - Cacoal (RO)","Total","2010","Total","1560.35"
"Teixeirão - Cacoal (RO)","Total","2010","Total","1393.76"
"Floresta - Cacoal (RO)","Total","2010","Total","2010.38"
"INCRA - Cacoal (RO)","Total","2010","Total","4062.72"
"Santo Antônio - Cacoal (RO)","Total","2010","Total","1341.52"
"Industrial - Cacoal (RO)","Total","2010","Total","2041.93"
"Cristal do Arco-Íris - Cacoal (RO)","Total","2010","Total","1674.73"
"Parque Industrial Governador Jerônimo Santana - Cacoal (RO)","Total","2010","Total","X"
"Jardim Bandeirantes - Cacoal (RO)","Total","2010","Total","1393.94"
"Jardim Vista Alegre - Cacoal (RO)","Total","2010","Total","1288.20"
"Conjunto Haley - Cacoal (RO)","Total","2010","Total","1367.19"
"Conjunto Habitacional Nova Esperança - Cacoal (RO)","Total","2010","Total","2364.50"
"Sociedade Bela Vista - Cacoal (RO)","Total","2010","Total","917.61"
"Centro - Colorado do Oeste (RO)","Total","2010","Total","2348.16"
"Cruzeiro - Colorado do Oeste (RO)","Total","2010","Total","1598.03"
"Jorge Teixeira - Colorado do Oeste (RO)","Total","2010","Total","1322.80"
"Jo Sato - Colorado do Oeste (RO)","Total","2010","Total","1430.99"
"Minas Gerais - Colorado do Oeste (RO)","Total","2010","Total","1412.65"
"Santa Luzia - Colorado do Oeste (RO)","Total","2010","Total","1642.03"
"Odilon Noia - Colorado do Oeste (RO)","Total","2010","Total","1043.10"
"São José - Colorado do Oeste (RO)","Total","2010","Total","1954.05"
"Mato Grosso - Colorado do Oeste (RO)","Total","2010","Total","1137.22"
"Industrial - Colorado do Oeste (RO)","Total","2010","Total","2367.85"
"Centro - Espigão D'Oeste (RO)","Total","2010","Total","2889.01"
"São José - Espigão D'Oeste (RO)","Total","2010","Total","1440.38"
"Morada do Sol - Espigão D'Oeste (RO)","Total","2010","Total","1875.66"
"Caixa D'água - Espigão D'Oeste (RO)","Total","2010","Total","1521.71"
"Liberdade - Espigão D'Oeste (RO)","Total","2010","Total","1593.07"
"Jorge Teixeira de Oliveira - Espigão D'Oeste (RO)","Total","2010","Total","1208.94"
"Vista Alegre - Espigão D'Oeste (RO)","Total","2010","Total","1832.78"
"Novo Horizonte - Espigão D'Oeste (RO)","Total","2010","Total","1664.18"
"Cidade Alta - Espigão D'Oeste (RO)","Total","2010","Total","867.68"
"Triângulo - Guajará-Mirim (RO)","Total","2010","Total","1376.59"
"Centro - Guajará-Mirim (RO)","Total","2010","Total","2971.07"
"Cristo Rey - Guajará-Mirim (RO)","Total","2010","Total","2072.90"
"Tamandaré - Guajará-Mirim (RO)","Total","2010","Total","2161.73"
"São José - Guajará-Mirim (RO)","Total","2010","Total","2044.33"
"Santa Luzia - Guajará-Mirim (RO)","Total","2010","Total","1631.45"
"Dez de Abril - Guajará-Mirim (RO)","Total","2010","Total","1796.16"
"Caetano - Guajará-Mirim (RO)","Total","2010","Total","2691.84"
"Liberdade - Guajará-Mirim (RO)","Total","2010","Total","1765.07"
"Fátima - Guajará-Mirim (RO)","Total","2010","Total","1257.86"
"Próspero - Guajará-Mirim (RO)","Total","2010","Total","1294.47"
"Serraria - Guajará-Mirim (RO)","Total","2010","Total","2304.66"
"Santo Antônio - Guajará-Mirim (RO)","Total","2010","Total","1230.72"
