"id_municipio","Município","Situação do domicílio","Grupo de idade","rural_pop"
"1100015","Alta Floresta D'Oeste (RO)","Rural","Total","42.73"
"1100023","Ariquemes (RO)","Rural","Total","15.30"
"1100031","Cabixi (RO)","Rural","Total","57.34"
"1100049","Cacoal (RO)","Rural","Total","21.19"
"1100056","Cerejeiras (RO)","Rural","Total","15.33"
"1100064","Colorado do Oeste (RO)","Rural","Total","26.54"
"1100072","Corumbiara (RO)","Rural","Total","70.51"
"1100080","Costa Marques (RO)","Rural","Total","45.19"
"1100098","Espigão D'Oeste (RO)","Rural","Total","28.26"
"1100106","Guajará-Mirim (RO)","Rural","Total","15.48"
"1100114","Jaru (RO)","Rural","Total","32.47"
"1100122","Ji-Paraná (RO)","Rural","Total","10.08"
"1100130","Machadinho D'Oeste (RO)","Rural","Total","48.06"
"1100148","Nova Brasilândia D'Oeste (RO)","Rural","Total","57.83"
"1100155","Ouro Preto do Oeste (RO)","Rural","Total","25.70"
"1100189","Pimenta Bueno (RO)","Rural","Total","13.02"
"1100205","Porto Velho (RO)","Rural","Total","8.41"
"1100254","Presidente Médici (RO)","Rural","Total","40.40"
"1100262","Rio Crespo (RO)","Rural","Total","67.91"
"1100288","Rolim de Moura (RO)","Rural","Total","18.20"
"1100296","Santa Luzia D'Oeste (RO)","Rural","Total","49.08"
"1100304","Vilhena (RO)","Rural","Total","5.23"
"1100320","São Miguel do Guaporé (RO)","Rural","Total","61.20"
"1100338","Nova Mamoré (RO)","Rural","Total","42.04"
"1100346","Alvorada D'Oeste (RO)","Rural","Total","47.64"
"1100379","Alto Alegre dos Parecis (RO)","Rural","Total","71.47"
"1100403","Alto Paraíso (RO)","Rural","Total","52.13"
"1100452","Buritis (RO)","Rural","Total","44.04"
"1100502","Novo Horizonte do Oeste (RO)","Rural","Total","83.08"
"1100601","Cacaulândia (RO)","Rural","Total","63.93"
"1100700","Campo Novo de Rondônia (RO)","Rural","Total","73.38"
"1100809","Candeias do Jamari (RO)","Rural","Total","34.85"
"1100908","Castanheiras (RO)","Rural","Total","76.62"
"1100924","Chupinguaia (RO)","Rural","Total","55.87"
"1100940","Cujubim (RO)","Rural","Total","30.35"
"1101005","Governador Jorge Teixeira (RO)","Rural","Total","77.54"
"1101104","Itapuã do Oeste (RO)","Rural","Total","39.04"
"1101203","Ministro Andreazza (RO)","Rural","Total","70.31"
"1101302","Mirante da Serra (RO)","Rural","Total","45.75"
"1101401","Monte Negro (RO)","Rural","Total","47.56"
"1101435","Nova União (RO)","Rural","Total","79.43"
"1101450","Parecis (RO)","Rural","Total","63.12"
"1101468","Pimenteiras do Oeste (RO)","Rural","Total","44.19"
"1101476","Primavera de Rondônia (RO)","Rural","Total","63.56"
"1101484","São Felipe D'Oeste (RO)","Rural","Total","76.01"
"1101492","São Francisco do Guaporé (RO)","Rural","Total","48.69"
"1101500","Seringueiras (RO)","Rural","Total","62.19"
"1101559","Teixeirópolis (RO)","Rural","Total","64.89"
"1101609","Theobroma (RO)","Rural","Total","81.43"
"1101708","Urupá (RO)","Rural","Total","60.41"
"1101757","Vale do Anari (RO)","Rural","Total","65.98"
"1101807","Vale do Paraíso (RO)","Rural","Total","72.28"
"1200013","Acrelândia (AC)","Rural","Total","52.82"
"1200054","Assis Brasil (AC)","Rural","Total","39.06"
"1200104","Brasiléia (AC)","Rural","Total","33.37"
"1200138","Bujari (AC)","Rural","Total","56.40"
"1200179","Capixaba (AC)","Rural","Total","55.34"
"1200203","Cruzeiro do Sul (AC)","Rural","Total","29.53"
"1200252","Epitaciolândia (AC)","Rural","Total","29.68"
"1200302","Feijó (AC)","Rural","Total","48.67"
"1200328","Jordão (AC)","Rural","Total","65.46"
"1200336","Mâncio Lima (AC)","Rural","Total","42.46"
"1200344","Manoel Urbano (AC)","Rural","Total","33.87"
"1200351","Marechal Thaumaturgo (AC)","Rural","Total","72.10"
"1200385","Plácido de Castro (AC)","Rural","Total","39.67"
"1200393","Porto Walter (AC)","Rural","Total","63.79"
"1200401","Rio Branco (AC)","Rural","Total","8.18"
"1200427","Rodrigues Alves (AC)","Rural","Total","70.01"
"1200435","Santa Rosa do Purus (AC)","Rural","Total","59.67"
"1200450","Senador Guiomard (AC)","Rural","Total","37.05"
"1200500","Sena Madureira (AC)","Rural","Total","33.97"
"1200609","Tarauacá (AC)","Rural","Total","45.63"
"1200708","Xapuri (AC)","Rural","Total","35.80"
"1200807","Porto Acre (AC)","Rural","Total","86.68"
"1300029","Alvarães (AM)","Rural","Total","44.02"
"1300060","Amaturá (AM)","Rural","Total","47.61"
"1300086","Anamã (AM)","Rural","Total","59.13"
"1300102","Anori (AM)","Rural","Total","38.71"
"1300144","Apuí (AM)","Rural","Total","41.16"
"1300201","Atalaia do Norte (AM)","Rural","Total","54.51"
"1300300","Autazes (AM)","Rural","Total","56.77"
"1300409","Barcelos (AM)","Rural","Total","56.62"
"1300508","Barreirinha (AM)","Rural","Total","54.60"
"1300607","Benjamin Constant (AM)","Rural","Total","39.73"
"1300631","Beruri (AM)","Rural","Total","49.77"
"1300680","Boa Vista do Ramos (AM)","Rural","Total","49.60"
"1300706","Boca do Acre (AM)","Rural","Total","36.84"
"1300805","Borba (AM)","Rural","Total","58.71"
"1300839","Caapiranga (AM)","Rural","Total","53.17"
"1300904","Canutama (AM)","Rural","Total","47.54"
"1301001","Carauari (AM)","Rural","Total","23.40"
"1301100","Careiro (AM)","Rural","Total","71.17"
"1301159","Careiro da Várzea (AM)","Rural","Total","95.82"
"1301209","Coari (AM)","Rural","Total","34.64"
"1301308","Codajás (AM)","Rural","Total","31.89"
"1301407","Eirunepé (AM)","Rural","Total","27.72"
"1301506","Envira (AM)","Rural","Total","35.41"
"1301605","Fonte Boa (AM)","Rural","Total","33.76"
"1301654","Guajará (AM)","Rural","Total","46.85"
"1301704","Humaitá (AM)","Rural","Total","31.04"
"1301803","Ipixuna (AM)","Rural","Total","57.32"
"1301852","Iranduba (AM)","Rural","Total","28.94"
"1301902","Itacoatiara (AM)","Rural","Total","33.03"
"1301951","Itamarati (AM)","Rural","Total","44.36"
"1302009","Itapiranga (AM)","Rural","Total","21.43"
"1302108","Japurá (AM)","Rural","Total","54.98"
"1302207","Juruá (AM)","Rural","Total","47.36"
"1302306","Jutaí (AM)","Rural","Total","41.35"
"1302405","Lábrea (AM)","Rural","Total","35.79"
"1302504","Manacapuru (AM)","Rural","Total","29.69"
"1302553","Manaquiri (AM)","Rural","Total","68.96"
"1302603","Manaus (AM)","Rural","Total","0.51"
"1302702","Manicoré (AM)","Rural","Total","56.72"
"1302801","Maraã (AM)","Rural","Total","50.06"
"1302900","Maués (AM)","Rural","Total","50.55"
"1303007","Nhamundá (AM)","Rural","Total","61.65"
"1303106","Nova Olinda do Norte (AM)","Rural","Total","55.61"
"1303205","Novo Airão (AM)","Rural","Total","35.48"
"1303304","Novo Aripuanã (AM)","Rural","Total","34.39"
"1303403","Parintins (AM)","Rural","Total","31.50"
"1303502","Pauini (AM)","Rural","Total","49.00"
"1303536","Presidente Figueiredo (AM)","Rural","Total","52.16"
"1303569","Rio Preto da Eva (AM)","Rural","Total","52.54"
"1303601","Santa Isabel do Rio Negro (AM)","Rural","Total","62.22"
"1303700","Santo Antônio do Içá (AM)","Rural","Total","47.11"
"1303809","São Gabriel da Cachoeira (AM)","Rural","Total","49.72"
"1303908","São Paulo de Olivença (AM)","Rural","Total","54.61"
"1303957","São Sebastião do Uatumã (AM)","Rural","Total","44.85"
"1304005","Silves (AM)","Rural","Total","52.29"
"1304062","Tabatinga (AM)","Rural","Total","30.45"
"1304104","Tapauá (AM)","Rural","Total","44.34"
"1304203","Tefé (AM)","Rural","Total","18.52"
"1304237","Tonantins (AM)","Rural","Total","47.90"
"1304260","Uarini (AM)","Rural","Total","42.86"
"1304302","Urucará (AM)","Rural","Total","42.17"
"1304401","Urucurituba (AM)","Rural","Total","41.43"
"1400027","Amajari (RR)","Rural","Total","86.93"
"1400050","Alto Alegre (RR)","Rural","Total","70.94"
"1400100","Boa Vista (RR)","Rural","Total","2.29"
"1400159","Bonfim (RR)","Rural","Total","66.09"
"1400175","Cantá (RR)","Rural","Total","83.76"
"1400209","Caracaraí (RR)","Rural","Total","40.70"
"1400233","Caroebe (RR)","Rural","Total","59.03"
"1400282","Iracema (RR)","Rural","Total","53.10"
"1400308","Mucajaí (RR)","Rural","Total","38.42"
"1400407","Normandia (RR)","Rural","Total","74.15"
"1400456","Pacaraima (RR)","Rural","Total","56.73"
"1400472","Rorainópolis (RR)","Rural","Total","52.50"
"1400506","São João da Baliza (RR)","Rural","Total","29.75"
"1400605","São Luiz (RR)","Rural","Total","34.00"
"1400704","Uiramutã (RR)","Rural","Total","86.41"
"1500107","Abaetetuba (PA)","Rural","Total","41.18"
"1500131","Abel Figueiredo (PA)","Rural","Total","11.00"
"1500206","Acará (PA)","Rural","Total","76.44"
"1500305","Afuá (PA)","Rural","Total","72.95"
