"id_municipio","Município","Situação do domicílio","Grupo de idade","White","Black","Brown","Indigenous"
"1100015","Alta Floresta D'Oeste (RO)","Total","Total","43.39","4.49","49.70","2.04"
"1100023","Ariquemes (RO)","Total","Total","35.44","8.64","53.68","0.11"
"1100031","Cabixi (RO)","Total","Total","46.22","7.37","44.78","0.04"
"1100049","Cacoal (RO)","Total","Total","41.79","5.77","49.27","1.87"
"1100056","Cerejeiras (RO)","Total","Total","47.83","5.08","46.07","0.08"
"1100064","Colorado do Oeste (RO)","Total","Total","41.15","6.89","49.89","0.05"
"1100072","Corumbiara (RO)","Total","Total","37.83","8.72","51.41","0.05"
"1100080","Costa Marques (RO)","Total","Total","31.40","6.83","59.15","2.00"
"1100098","Espigão D'Oeste (RO)","Total","Total","46.20","5.53","45.90","1.12"
"1100106","Guajará-Mirim (RO)","Total","Total","20.46","7.73","59.29","10.68"
"1100114","Jaru (RO)","Total","Total","33.14","8.25","57.03","0.11"
"1100122","Ji-Paraná (RO)","Total","Total","39.45","5.95","51.74","1.21"
"1100130","Machadinho D'Oeste (RO)","Total","Total","30.91","8.06","59.67","0.15"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","Total","39.48","6.41","52.80","0.45"
"1100155","Ouro Preto do Oeste (RO)","Total","Total","35.41","7.77","55.85","0.20"
"1100189","Pimenta Bueno (RO)","Total","Total","40.81","6.03","50.89","0.77"
"1100205","Porto Velho (RO)","Total","Total","29.02","6.99","61.34","0.51"
"1100254","Presidente Médici (RO)","Total","Total","39.73","4.83","54.10","0.05"
"1100262","Rio Crespo (RO)","Total","Total","42.04","6.50","50.63","0.10"
"1100288","Rolim de Moura (RO)","Total","Total","39.77","6.85","52.01","0.13"
"1100296","Santa Luzia D'Oeste (RO)","Total","Total","34.95","5.57","57.63","0.09"
"1100304","Vilhena (RO)","Total","Total","44.32","5.13","49.00","0.72"
"1100320","São Miguel do Guaporé (RO)","Total","Total","37.37","5.97","55.03","0.28"
"1100338","Nova Mamoré (RO)","Total","Total","29.88","4.46","61.77","1.97"
"1100346","Alvorada D'Oeste (RO)","Total","Total","35.74","7.06","55.74","0.12"
"1100379","Alto Alegre dos Parecis (RO)","Total","Total","35.36","7.18","55.37","0.09"
"1100403","Alto Paraíso (RO)","Total","Total","35.50","6.99","54.79","0.10"
"1100452","Buritis (RO)","Total","Total","36.20","6.28","55.66","0.15"
"1100502","Novo Horizonte do Oeste (RO)","Total","Total","42.97","6.27","49.75","0.26"
"1100601","Cacaulândia (RO)","Total","Total","31.60","10.50","56.46","0.13"
"1100700","Campo Novo de Rondônia (RO)","Total","Total","34.88","10.96","53.77","0.06"
"1100809","Candeias do Jamari (RO)","Total","Total","24.30","7.01","67.20","0.04"
"1100908","Castanheiras (RO)","Total","Total","41.32","5.42","53.00","-"
"1100924","Chupinguaia (RO)","Total","Total","34.01","5.34","57.08","3.29"
"1100940","Cujubim (RO)","Total","Total","29.52","9.44","59.92","-"
"1101005","Governador Jorge Teixeira (RO)","Total","Total","32.99","5.84","59.16","1.07"
