"id_municipio","Município","Classes de rendimento nominal mensal","<1","1-3","4-7","8-10","11-14",">15","NA"
"1100015","Alta Floresta D'Oeste (RO)","Total","13.79","27.30","40.14","10.13","6.52","0.74","1.37"
"1100023","Ariquemes (RO)","Total","11.32","20.09","40.11","15.57","10.28","1.81","0.82"
"1100031","Cabixi (RO)","Total","14.07","24.92","43.54","9.87","5.25","0.29","2.06"
"1100049","Cacoal (RO)","Total","11.51","19.50","39.99","13.75","11.12","1.97","2.16"
"1100056","Cerejeiras (RO)","Total","11.52","21.62","43.38","12.36","8.83","0.64","1.65"
"1100064","Colorado do Oeste (RO)","Total","12.34","18.76","41.91","12.94","10.23","1.32","2.50"
"1100072","Corumbiara (RO)","Total","17.40","29.42","42.59","5.95","2.95","0.34","1.34"
"1100080","Costa Marques (RO)","Total","12.99","27.28","41.08","9.72","6.54","1.31","1.08"
"1100098","Espigão D'Oeste (RO)","Total","13.35","25.03","41.40","10.91","6.00","0.73","2.57"
"1100106","Guajará-Mirim (RO)","Total","10.94","17.92","35.79","17.19","12.16","2.32","3.68"
"1100114","Jaru (RO)","Total","13.87","22.59","43.29","11.05","7.74","0.87","0.58"
"1100122","Ji-Paraná (RO)","Total","10.61","18.66","41.56","14.25","12.41","1.80","0.71"
"1100130","Machadinho D'Oeste (RO)","Total","16.62","28.56","39.93","9.22","4.66","0.55","0.46"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","13.93","24.01","37.54","13.63","6.28","0.44","4.17"
"1100155","Ouro Preto do Oeste (RO)","Total","13.23","23.02","41.17","11.75","8.94","1.18","0.70"
"1100189","Pimenta Bueno (RO)","Total","12.06","18.03","39.41","15.57","10.95","1.92","2.05"
"1100205","Porto Velho (RO)","Total","7.93","15.54","35.34","17.00","19.90","3.64","0.66"
"1100254","Presidente Médici (RO)","Total","16.11","23.96","40.96","10.21","6.44","0.65","1.67"
"1100262","Rio Crespo (RO)","Total","16.83","27.90","40.85","7.70","5.34","1.02","0.36"
"1100288","Rolim de Moura (RO)","Total","12.99","20.49","40.21","14.21","8.00","1.49","2.61"
"1100296","Santa Luzia D'Oeste (RO)","Total","14.10","25.12","40.02","12.21","5.50","0.79","2.26"
"1100304","Vilhena (RO)","Total","8.49","15.42","40.71","17.74","13.68","2.46","1.49"
"1100320","São Miguel do Guaporé (RO)","Total","13.44","29.84","42.40","9.23","2.60","0.08","2.42"
"1100338","Nova Mamoré (RO)","Total","13.55","27.47","42.78","9.21","6.03","0.25","0.70"
"1100346","Alvorada D'Oeste (RO)","Total","14.88","27.79","38.84","10.85","6.12","0.62","0.91"
